Operation, a, b, c, d, e, f, g, h
818, 1,107900,124900,2,54051,0,-53849,0
820, 1,107900,124900,2,54051,0,2,0
821, 1,107900,124900,2,54051,0,108102,0
822, 1,107900,124900,2,54051,0,202,0
824, 1,107900,124900,2,54052,0,202,0
825, 1,107900,124900,2,54052,0,54052,0
826, 1,107900,124900,2,54052,0,-53848,0
828, 1,107900,124900,2,54052,0,2,0
829, 1,107900,124900,2,54052,0,108104,0
830, 1,107900,124900,2,54052,0,204,0
832, 1,107900,124900,2,54053,0,204,0
833, 1,107900,124900,2,54053,0,54053,0
834, 1,107900,124900,2,54053,0,-53847,0
836, 1,107900,124900,2,54053,0,2,0
837, 1,107900,124900,2,54053,0,108106,0
838, 1,107900,124900,2,54053,0,206,0
840, 1,107900,124900,2,54054,0,206,0
841, 1,107900,124900,2,54054,0,54054,0
842, 1,107900,124900,2,54054,0,-53846,0
844, 1,107900,124900,2,54054,0,2,0
845, 1,107900,124900,2,54054,0,108108,0
846, 1,107900,124900,2,54054,0,208,0
848, 1,107900,124900,2,54055,0,208,0
849, 1,107900,124900,2,54055,0,54055,0
850, 1,107900,124900,2,54055,0,-53845,0
852, 1,107900,124900,2,54055,0,2,0
853, 1,107900,124900,2,54055,0,108110,0
854, 1,107900,124900,2,54055,0,210,0
856, 1,107900,124900,2,54056,0,210,0
857, 1,107900,124900,2,54056,0,54056,0
858, 1,107900,124900,2,54056,0,-53844,0
860, 1,107900,124900,2,54056,0,2,0
861, 1,107900,124900,2,54056,0,108112,0
862, 1,107900,124900,2,54056,0,212,0
864, 1,107900,124900,2,54057,0,212,0
865, 1,107900,124900,2,54057,0,54057,0
866, 1,107900,124900,2,54057,0,-53843,0
868, 1,107900,124900,2,54057,0,2,0
869, 1,107900,124900,2,54057,0,108114,0
870, 1,107900,124900,2,54057,0,214,0
872, 1,107900,124900,2,54058,0,214,0
873, 1,107900,124900,2,54058,0,54058,0
874, 1,107900,124900,2,54058,0,-53842,0
876, 1,107900,124900,2,54058,0,2,0
877, 1,107900,124900,2,54058,0,108116,0
878, 1,107900,124900,2,54058,0,216,0
880, 1,107900,124900,2,54059,0,216,0
881, 1,107900,124900,2,54059,0,54059,0
882, 1,107900,124900,2,54059,0,-53841,0
884, 1,107900,124900,2,54059,0,2,0
885, 1,107900,124900,2,54059,0,108118,0
886, 1,107900,124900,2,54059,0,218,0
888, 1,107900,124900,2,54060,0,218,0
889, 1,107900,124900,2,54060,0,54060,0
890, 1,107900,124900,2,54060,0,-53840,0
892, 1,107900,124900,2,54060,0,2,0
893, 1,107900,124900,2,54060,0,108120,0
894, 1,107900,124900,2,54060,0,220,0
896, 1,107900,124900,2,54061,0,220,0
897, 1,107900,124900,2,54061,0,54061,0
898, 1,107900,124900,2,54061,0,-53839,0
900, 1,107900,124900,2,54061,0,2,0
901, 1,107900,124900,2,54061,0,108122,0
902, 1,107900,124900,2,54061,0,222,0
904, 1,107900,124900,2,54062,0,222,0
905, 1,107900,124900,2,54062,0,54062,0
906, 1,107900,124900,2,54062,0,-53838,0
908, 1,107900,124900,2,54062,0,2,0
909, 1,107900,124900,2,54062,0,108124,0
910, 1,107900,124900,2,54062,0,224,0
912, 1,107900,124900,2,54063,0,224,0
913, 1,107900,124900,2,54063,0,54063,0
914, 1,107900,124900,2,54063,0,-53837,0
916, 1,107900,124900,2,54063,0,2,0
917, 1,107900,124900,2,54063,0,108126,0
918, 1,107900,124900,2,54063,0,226,0
920, 1,107900,124900,2,54064,0,226,0
921, 1,107900,124900,2,54064,0,54064,0
922, 1,107900,124900,2,54064,0,-53836,0
924, 1,107900,124900,2,54064,0,2,0
925, 1,107900,124900,2,54064,0,108128,0
926, 1,107900,124900,2,54064,0,228,0
928, 1,107900,124900,2,54065,0,228,0
929, 1,107900,124900,2,54065,0,54065,0
930, 1,107900,124900,2,54065,0,-53835,0
932, 1,107900,124900,2,54065,0,2,0
933, 1,107900,124900,2,54065,0,108130,0
934, 1,107900,124900,2,54065,0,230,0
936, 1,107900,124900,2,54066,0,230,0
937, 1,107900,124900,2,54066,0,54066,0
938, 1,107900,124900,2,54066,0,-53834,0
940, 1,107900,124900,2,54066,0,2,0
941, 1,107900,124900,2,54066,0,108132,0
942, 1,107900,124900,2,54066,0,232,0
944, 1,107900,124900,2,54067,0,232,0
945, 1,107900,124900,2,54067,0,54067,0
946, 1,107900,124900,2,54067,0,-53833,0
948, 1,107900,124900,2,54067,0,2,0
949, 1,107900,124900,2,54067,0,108134,0
950, 1,107900,124900,2,54067,0,234,0
952, 1,107900,124900,2,54068,0,234,0
953, 1,107900,124900,2,54068,0,54068,0
954, 1,107900,124900,2,54068,0,-53832,0
956, 1,107900,124900,2,54068,0,2,0
957, 1,107900,124900,2,54068,0,108136,0
958, 1,107900,124900,2,54068,0,236,0
960, 1,107900,124900,2,54069,0,236,0
961, 1,107900,124900,2,54069,0,54069,0
962, 1,107900,124900,2,54069,0,-53831,0
964, 1,107900,124900,2,54069,0,2,0
965, 1,107900,124900,2,54069,0,108138,0
966, 1,107900,124900,2,54069,0,238,0
968, 1,107900,124900,2,54070,0,238,0
969, 1,107900,124900,2,54070,0,54070,0
970, 1,107900,124900,2,54070,0,-53830,0
972, 1,107900,124900,2,54070,0,2,0
973, 1,107900,124900,2,54070,0,108140,0
974, 1,107900,124900,2,54070,0,240,0
976, 1,107900,124900,2,54071,0,240,0
977, 1,107900,124900,2,54071,0,54071,0
978, 1,107900,124900,2,54071,0,-53829,0
980, 1,107900,124900,2,54071,0,2,0
981, 1,107900,124900,2,54071,0,108142,0
982, 1,107900,124900,2,54071,0,242,0
984, 1,107900,124900,2,54072,0,242,0
985, 1,107900,124900,2,54072,0,54072,0
986, 1,107900,124900,2,54072,0,-53828,0
988, 1,107900,124900,2,54072,0,2,0
989, 1,107900,124900,2,54072,0,108144,0
990, 1,107900,124900,2,54072,0,244,0
992, 1,107900,124900,2,54073,0,244,0
993, 1,107900,124900,2,54073,0,54073,0
994, 1,107900,124900,2,54073,0,-53827,0
996, 1,107900,124900,2,54073,0,2,0
997, 1,107900,124900,2,54073,0,108146,0
998, 1,107900,124900,2,54073,0,246,0
1000, 1,107900,124900,2,54074,0,246,0
1001, 1,107900,124900,2,54074,0,54074,0
1002, 1,107900,124900,2,54074,0,-53826,0
1004, 1,107900,124900,2,54074,0,2,0
1005, 1,107900,124900,2,54074,0,108148,0
1006, 1,107900,124900,2,54074,0,248,0
1008, 1,107900,124900,2,54075,0,248,0
1009, 1,107900,124900,2,54075,0,54075,0
1010, 1,107900,124900,2,54075,0,-53825,0
1012, 1,107900,124900,2,54075,0,2,0
1013, 1,107900,124900,2,54075,0,108150,0
1014, 1,107900,124900,2,54075,0,250,0
1016, 1,107900,124900,2,54076,0,250,0
1017, 1,107900,124900,2,54076,0,54076,0
1018, 1,107900,124900,2,54076,0,-53824,0
1020, 1,107900,124900,2,54076,0,2,0
1021, 1,107900,124900,2,54076,0,108152,0
1022, 1,107900,124900,2,54076,0,252,0
1024, 1,107900,124900,2,54077,0,252,0
1025, 1,107900,124900,2,54077,0,54077,0
1026, 1,107900,124900,2,54077,0,-53823,0
1028, 1,107900,124900,2,54077,0,2,0
1029, 1,107900,124900,2,54077,0,108154,0
1030, 1,107900,124900,2,54077,0,254,0
1032, 1,107900,124900,2,54078,0,254,0
1033, 1,107900,124900,2,54078,0,54078,0
1034, 1,107900,124900,2,54078,0,-53822,0
1036, 1,107900,124900,2,54078,0,2,0
1037, 1,107900,124900,2,54078,0,108156,0
1038, 1,107900,124900,2,54078,0,256,0
1040, 1,107900,124900,2,54079,0,256,0
1041, 1,107900,124900,2,54079,0,54079,0
1042, 1,107900,124900,2,54079,0,-53821,0
1044, 1,107900,124900,2,54079,0,2,0
1045, 1,107900,124900,2,54079,0,108158,0
1046, 1,107900,124900,2,54079,0,258,0
1048, 1,107900,124900,2,54080,0,258,0
1049, 1,107900,124900,2,54080,0,54080,0
1050, 1,107900,124900,2,54080,0,-53820,0
1052, 1,107900,124900,2,54080,0,2,0
1053, 1,107900,124900,2,54080,0,108160,0
1054, 1,107900,124900,2,54080,0,260,0
1056, 1,107900,124900,2,54081,0,260,0
1057, 1,107900,124900,2,54081,0,54081,0
1058, 1,107900,124900,2,54081,0,-53819,0
1060, 1,107900,124900,2,54081,0,2,0
1061, 1,107900,124900,2,54081,0,108162,0
1062, 1,107900,124900,2,54081,0,262,0
1064, 1,107900,124900,2,54082,0,262,0
1065, 1,107900,124900,2,54082,0,54082,0
1066, 1,107900,124900,2,54082,0,-53818,0
1068, 1,107900,124900,2,54082,0,2,0
1069, 1,107900,124900,2,54082,0,108164,0
1070, 1,107900,124900,2,54082,0,264,0
1072, 1,107900,124900,2,54083,0,264,0
1073, 1,107900,124900,2,54083,0,54083,0
1074, 1,107900,124900,2,54083,0,-53817,0
1076, 1,107900,124900,2,54083,0,2,0
1077, 1,107900,124900,2,54083,0,108166,0
1078, 1,107900,124900,2,54083,0,266,0
1080, 1,107900,124900,2,54084,0,266,0
1081, 1,107900,124900,2,54084,0,54084,0
1082, 1,107900,124900,2,54084,0,-53816,0
1084, 1,107900,124900,2,54084,0,2,0
1085, 1,107900,124900,2,54084,0,108168,0
1086, 1,107900,124900,2,54084,0,268,0
1088, 1,107900,124900,2,54085,0,268,0
1089, 1,107900,124900,2,54085,0,54085,0
1090, 1,107900,124900,2,54085,0,-53815,0
1092, 1,107900,124900,2,54085,0,2,0
1093, 1,107900,124900,2,54085,0,108170,0
1094, 1,107900,124900,2,54085,0,270,0
1096, 1,107900,124900,2,54086,0,270,0
1097, 1,107900,124900,2,54086,0,54086,0
1098, 1,107900,124900,2,54086,0,-53814,0
1100, 1,107900,124900,2,54086,0,2,0
1101, 1,107900,124900,2,54086,0,108172,0
1102, 1,107900,124900,2,54086,0,272,0
1104, 1,107900,124900,2,54087,0,272,0
1105, 1,107900,124900,2,54087,0,54087,0
1106, 1,107900,124900,2,54087,0,-53813,0
1108, 1,107900,124900,2,54087,0,2,0
1109, 1,107900,124900,2,54087,0,108174,0
1110, 1,107900,124900,2,54087,0,274,0
1112, 1,107900,124900,2,54088,0,274,0
1113, 1,107900,124900,2,54088,0,54088,0
1114, 1,107900,124900,2,54088,0,-53812,0
1116, 1,107900,124900,2,54088,0,2,0
1117, 1,107900,124900,2,54088,0,108176,0
1118, 1,107900,124900,2,54088,0,276,0
1120, 1,107900,124900,2,54089,0,276,0
1121, 1,107900,124900,2,54089,0,54089,0
1122, 1,107900,124900,2,54089,0,-53811,0
1124, 1,107900,124900,2,54089,0,2,0
1125, 1,107900,124900,2,54089,0,108178,0
1126, 1,107900,124900,2,54089,0,278,0
1128, 1,107900,124900,2,54090,0,278,0
1129, 1,107900,124900,2,54090,0,54090,0
1130, 1,107900,124900,2,54090,0,-53810,0
1132, 1,107900,124900,2,54090,0,2,0
1133, 1,107900,124900,2,54090,0,108180,0
1134, 1,107900,124900,2,54090,0,280,0
1136, 1,107900,124900,2,54091,0,280,0
1137, 1,107900,124900,2,54091,0,54091,0
1138, 1,107900,124900,2,54091,0,-53809,0
1140, 1,107900,124900,2,54091,0,2,0
1141, 1,107900,124900,2,54091,0,108182,0
1142, 1,107900,124900,2,54091,0,282,0
1144, 1,107900,124900,2,54092,0,282,0
1145, 1,107900,124900,2,54092,0,54092,0
1146, 1,107900,124900,2,54092,0,-53808,0
1148, 1,107900,124900,2,54092,0,2,0
1149, 1,107900,124900,2,54092,0,108184,0
1150, 1,107900,124900,2,54092,0,284,0
1152, 1,107900,124900,2,54093,0,284,0
1153, 1,107900,124900,2,54093,0,54093,0
1154, 1,107900,124900,2,54093,0,-53807,0
1156, 1,107900,124900,2,54093,0,2,0
1157, 1,107900,124900,2,54093,0,108186,0
1158, 1,107900,124900,2,54093,0,286,0
1160, 1,107900,124900,2,54094,0,286,0
1161, 1,107900,124900,2,54094,0,54094,0
1162, 1,107900,124900,2,54094,0,-53806,0
1164, 1,107900,124900,2,54094,0,2,0
1165, 1,107900,124900,2,54094,0,108188,0
1166, 1,107900,124900,2,54094,0,288,0
1168, 1,107900,124900,2,54095,0,288,0
1169, 1,107900,124900,2,54095,0,54095,0
1170, 1,107900,124900,2,54095,0,-53805,0
1172, 1,107900,124900,2,54095,0,2,0
1173, 1,107900,124900,2,54095,0,108190,0
1174, 1,107900,124900,2,54095,0,290,0
1176, 1,107900,124900,2,54096,0,290,0
1177, 1,107900,124900,2,54096,0,54096,0
1178, 1,107900,124900,2,54096,0,-53804,0
1180, 1,107900,124900,2,54096,0,2,0
1181, 1,107900,124900,2,54096,0,108192,0
1182, 1,107900,124900,2,54096,0,292,0
1184, 1,107900,124900,2,54097,0,292,0
1185, 1,107900,124900,2,54097,0,54097,0
1186, 1,107900,124900,2,54097,0,-53803,0
1188, 1,107900,124900,2,54097,0,2,0
1189, 1,107900,124900,2,54097,0,108194,0
1190, 1,107900,124900,2,54097,0,294,0
1192, 1,107900,124900,2,54098,0,294,0
1193, 1,107900,124900,2,54098,0,54098,0
1194, 1,107900,124900,2,54098,0,-53802,0
1196, 1,107900,124900,2,54098,0,2,0
1197, 1,107900,124900,2,54098,0,108196,0
1198, 1,107900,124900,2,54098,0,296,0
1200, 1,107900,124900,2,54099,0,296,0
1201, 1,107900,124900,2,54099,0,54099,0
1202, 1,107900,124900,2,54099,0,-53801,0
1204, 1,107900,124900,2,54099,0,2,0
1205, 1,107900,124900,2,54099,0,108198,0
1206, 1,107900,124900,2,54099,0,298,0
1208, 1,107900,124900,2,54100,0,298,0
1209, 1,107900,124900,2,54100,0,54100,0
1210, 1,107900,124900,2,54100,0,-53800,0
1212, 1,107900,124900,2,54100,0,2,0
1213, 1,107900,124900,2,54100,0,108200,0
1214, 1,107900,124900,2,54100,0,300,0
1216, 1,107900,124900,2,54101,0,300,0
1217, 1,107900,124900,2,54101,0,54101,0
1218, 1,107900,124900,2,54101,0,-53799,0
1220, 1,107900,124900,2,54101,0,2,0
1221, 1,107900,124900,2,54101,0,108202,0
1222, 1,107900,124900,2,54101,0,302,0
1224, 1,107900,124900,2,54102,0,302,0
1225, 1,107900,124900,2,54102,0,54102,0
1226, 1,107900,124900,2,54102,0,-53798,0
1228, 1,107900,124900,2,54102,0,2,0
1229, 1,107900,124900,2,54102,0,108204,0
1230, 1,107900,124900,2,54102,0,304,0
1232, 1,107900,124900,2,54103,0,304,0
1233, 1,107900,124900,2,54103,0,54103,0
1234, 1,107900,124900,2,54103,0,-53797,0
1236, 1,107900,124900,2,54103,0,2,0
1237, 1,107900,124900,2,54103,0,108206,0
1238, 1,107900,124900,2,54103,0,306,0
1240, 1,107900,124900,2,54104,0,306,0
1241, 1,107900,124900,2,54104,0,54104,0
1242, 1,107900,124900,2,54104,0,-53796,0
1244, 1,107900,124900,2,54104,0,2,0
1245, 1,107900,124900,2,54104,0,108208,0
1246, 1,107900,124900,2,54104,0,308,0
1248, 1,107900,124900,2,54105,0,308,0
1249, 1,107900,124900,2,54105,0,54105,0
1250, 1,107900,124900,2,54105,0,-53795,0
1252, 1,107900,124900,2,54105,0,2,0
1253, 1,107900,124900,2,54105,0,108210,0
1254, 1,107900,124900,2,54105,0,310,0
1256, 1,107900,124900,2,54106,0,310,0
1257, 1,107900,124900,2,54106,0,54106,0
1258, 1,107900,124900,2,54106,0,-53794,0
1260, 1,107900,124900,2,54106,0,2,0
1261, 1,107900,124900,2,54106,0,108212,0
1262, 1,107900,124900,2,54106,0,312,0
1264, 1,107900,124900,2,54107,0,312,0
1265, 1,107900,124900,2,54107,0,54107,0
1266, 1,107900,124900,2,54107,0,-53793,0
1268, 1,107900,124900,2,54107,0,2,0
1269, 1,107900,124900,2,54107,0,108214,0
1270, 1,107900,124900,2,54107,0,314,0
1272, 1,107900,124900,2,54108,0,314,0
1273, 1,107900,124900,2,54108,0,54108,0
1274, 1,107900,124900,2,54108,0,-53792,0
1276, 1,107900,124900,2,54108,0,2,0
1277, 1,107900,124900,2,54108,0,108216,0
1278, 1,107900,124900,2,54108,0,316,0
1280, 1,107900,124900,2,54109,0,316,0
1281, 1,107900,124900,2,54109,0,54109,0
1282, 1,107900,124900,2,54109,0,-53791,0
1284, 1,107900,124900,2,54109,0,2,0
1285, 1,107900,124900,2,54109,0,108218,0
1286, 1,107900,124900,2,54109,0,318,0
1288, 1,107900,124900,2,54110,0,318,0
1289, 1,107900,124900,2,54110,0,54110,0
1290, 1,107900,124900,2,54110,0,-53790,0
1292, 1,107900,124900,2,54110,0,2,0
1293, 1,107900,124900,2,54110,0,108220,0
1294, 1,107900,124900,2,54110,0,320,0
1296, 1,107900,124900,2,54111,0,320,0
1297, 1,107900,124900,2,54111,0,54111,0
1298, 1,107900,124900,2,54111,0,-53789,0
1300, 1,107900,124900,2,54111,0,2,0
1301, 1,107900,124900,2,54111,0,108222,0
1302, 1,107900,124900,2,54111,0,322,0
1304, 1,107900,124900,2,54112,0,322,0
1305, 1,107900,124900,2,54112,0,54112,0
1306, 1,107900,124900,2,54112,0,-53788,0
1308, 1,107900,124900,2,54112,0,2,0
1309, 1,107900,124900,2,54112,0,108224,0
1310, 1,107900,124900,2,54112,0,324,0
1312, 1,107900,124900,2,54113,0,324,0
1313, 1,107900,124900,2,54113,0,54113,0
1314, 1,107900,124900,2,54113,0,-53787,0
1316, 1,107900,124900,2,54113,0,2,0
1317, 1,107900,124900,2,54113,0,108226,0
1318, 1,107900,124900,2,54113,0,326,0
1320, 1,107900,124900,2,54114,0,326,0
1321, 1,107900,124900,2,54114,0,54114,0
1322, 1,107900,124900,2,54114,0,-53786,0
1324, 1,107900,124900,2,54114,0,2,0
1325, 1,107900,124900,2,54114,0,108228,0
1326, 1,107900,124900,2,54114,0,328,0
1328, 1,107900,124900,2,54115,0,328,0
1329, 1,107900,124900,2,54115,0,54115,0
1330, 1,107900,124900,2,54115,0,-53785,0
1332, 1,107900,124900,2,54115,0,2,0
1333, 1,107900,124900,2,54115,0,108230,0
1334, 1,107900,124900,2,54115,0,330,0
1336, 1,107900,124900,2,54116,0,330,0
1337, 1,107900,124900,2,54116,0,54116,0
1338, 1,107900,124900,2,54116,0,-53784,0
1340, 1,107900,124900,2,54116,0,2,0
1341, 1,107900,124900,2,54116,0,108232,0
1342, 1,107900,124900,2,54116,0,332,0
1344, 1,107900,124900,2,54117,0,332,0
1345, 1,107900,124900,2,54117,0,54117,0
1346, 1,107900,124900,2,54117,0,-53783,0
1348, 1,107900,124900,2,54117,0,2,0
1349, 1,107900,124900,2,54117,0,108234,0
1350, 1,107900,124900,2,54117,0,334,0
1352, 1,107900,124900,2,54118,0,334,0
1353, 1,107900,124900,2,54118,0,54118,0
1354, 1,107900,124900,2,54118,0,-53782,0
1356, 1,107900,124900,2,54118,0,2,0
1357, 1,107900,124900,2,54118,0,108236,0
1358, 1,107900,124900,2,54118,0,336,0
1360, 1,107900,124900,2,54119,0,336,0
1361, 1,107900,124900,2,54119,0,54119,0
1362, 1,107900,124900,2,54119,0,-53781,0
1364, 1,107900,124900,2,54119,0,2,0
1365, 1,107900,124900,2,54119,0,108238,0
1366, 1,107900,124900,2,54119,0,338,0
1368, 1,107900,124900,2,54120,0,338,0
1369, 1,107900,124900,2,54120,0,54120,0
1370, 1,107900,124900,2,54120,0,-53780,0
1372, 1,107900,124900,2,54120,0,2,0
1373, 1,107900,124900,2,54120,0,108240,0
1374, 1,107900,124900,2,54120,0,340,0
1376, 1,107900,124900,2,54121,0,340,0
1377, 1,107900,124900,2,54121,0,54121,0
1378, 1,107900,124900,2,54121,0,-53779,0
1380, 1,107900,124900,2,54121,0,2,0
1381, 1,107900,124900,2,54121,0,108242,0
1382, 1,107900,124900,2,54121,0,342,0
1384, 1,107900,124900,2,54122,0,342,0
1385, 1,107900,124900,2,54122,0,54122,0
1386, 1,107900,124900,2,54122,0,-53778,0
1388, 1,107900,124900,2,54122,0,2,0
1389, 1,107900,124900,2,54122,0,108244,0
1390, 1,107900,124900,2,54122,0,344,0
1392, 1,107900,124900,2,54123,0,344,0
1393, 1,107900,124900,2,54123,0,54123,0
1394, 1,107900,124900,2,54123,0,-53777,0
1396, 1,107900,124900,2,54123,0,2,0
1397, 1,107900,124900,2,54123,0,108246,0
1398, 1,107900,124900,2,54123,0,346,0
1400, 1,107900,124900,2,54124,0,346,0
1401, 1,107900,124900,2,54124,0,54124,0
1402, 1,107900,124900,2,54124,0,-53776,0
1404, 1,107900,124900,2,54124,0,2,0
1405, 1,107900,124900,2,54124,0,108248,0
1406, 1,107900,124900,2,54124,0,348,0
1408, 1,107900,124900,2,54125,0,348,0
1409, 1,107900,124900,2,54125,0,54125,0
1410, 1,107900,124900,2,54125,0,-53775,0
1412, 1,107900,124900,2,54125,0,2,0
1413, 1,107900,124900,2,54125,0,108250,0
1414, 1,107900,124900,2,54125,0,350,0
1416, 1,107900,124900,2,54126,0,350,0
1417, 1,107900,124900,2,54126,0,54126,0
1418, 1,107900,124900,2,54126,0,-53774,0
1420, 1,107900,124900,2,54126,0,2,0
1421, 1,107900,124900,2,54126,0,108252,0
1422, 1,107900,124900,2,54126,0,352,0
1424, 1,107900,124900,2,54127,0,352,0
1425, 1,107900,124900,2,54127,0,54127,0
1426, 1,107900,124900,2,54127,0,-53773,0
1428, 1,107900,124900,2,54127,0,2,0
1429, 1,107900,124900,2,54127,0,108254,0
1430, 1,107900,124900,2,54127,0,354,0
1432, 1,107900,124900,2,54128,0,354,0
1433, 1,107900,124900,2,54128,0,54128,0
1434, 1,107900,124900,2,54128,0,-53772,0
1436, 1,107900,124900,2,54128,0,2,0
1437, 1,107900,124900,2,54128,0,108256,0
1438, 1,107900,124900,2,54128,0,356,0
1440, 1,107900,124900,2,54129,0,356,0
1441, 1,107900,124900,2,54129,0,54129,0
1442, 1,107900,124900,2,54129,0,-53771,0
1444, 1,107900,124900,2,54129,0,2,0
1445, 1,107900,124900,2,54129,0,108258,0
1446, 1,107900,124900,2,54129,0,358,0
1448, 1,107900,124900,2,54130,0,358,0
1449, 1,107900,124900,2,54130,0,54130,0
1450, 1,107900,124900,2,54130,0,-53770,0
1452, 1,107900,124900,2,54130,0,2,0
1453, 1,107900,124900,2,54130,0,108260,0
1454, 1,107900,124900,2,54130,0,360,0
1456, 1,107900,124900,2,54131,0,360,0
1457, 1,107900,124900,2,54131,0,54131,0
1458, 1,107900,124900,2,54131,0,-53769,0
1460, 1,107900,124900,2,54131,0,2,0
1461, 1,107900,124900,2,54131,0,108262,0
1462, 1,107900,124900,2,54131,0,362,0
1464, 1,107900,124900,2,54132,0,362,0
1465, 1,107900,124900,2,54132,0,54132,0
1466, 1,107900,124900,2,54132,0,-53768,0
1468, 1,107900,124900,2,54132,0,2,0
1469, 1,107900,124900,2,54132,0,108264,0
1470, 1,107900,124900,2,54132,0,364,0
1472, 1,107900,124900,2,54133,0,364,0
1473, 1,107900,124900,2,54133,0,54133,0
1474, 1,107900,124900,2,54133,0,-53767,0
1476, 1,107900,124900,2,54133,0,2,0
1477, 1,107900,124900,2,54133,0,108266,0
1478, 1,107900,124900,2,54133,0,366,0
1480, 1,107900,124900,2,54134,0,366,0
1481, 1,107900,124900,2,54134,0,54134,0
1482, 1,107900,124900,2,54134,0,-53766,0
1484, 1,107900,124900,2,54134,0,2,0
1485, 1,107900,124900,2,54134,0,108268,0
1486, 1,107900,124900,2,54134,0,368,0
1488, 1,107900,124900,2,54135,0,368,0
1489, 1,107900,124900,2,54135,0,54135,0
1490, 1,107900,124900,2,54135,0,-53765,0
1492, 1,107900,124900,2,54135,0,2,0
1493, 1,107900,124900,2,54135,0,108270,0
1494, 1,107900,124900,2,54135,0,370,0
1496, 1,107900,124900,2,54136,0,370,0
1497, 1,107900,124900,2,54136,0,54136,0
1498, 1,107900,124900,2,54136,0,-53764,0
1500, 1,107900,124900,2,54136,0,2,0
1501, 1,107900,124900,2,54136,0,108272,0
1502, 1,107900,124900,2,54136,0,372,0
1504, 1,107900,124900,2,54137,0,372,0
1505, 1,107900,124900,2,54137,0,54137,0
1506, 1,107900,124900,2,54137,0,-53763,0
1508, 1,107900,124900,2,54137,0,2,0
1509, 1,107900,124900,2,54137,0,108274,0
1510, 1,107900,124900,2,54137,0,374,0
1512, 1,107900,124900,2,54138,0,374,0
1513, 1,107900,124900,2,54138,0,54138,0
1514, 1,107900,124900,2,54138,0,-53762,0
1516, 1,107900,124900,2,54138,0,2,0
1517, 1,107900,124900,2,54138,0,108276,0
1518, 1,107900,124900,2,54138,0,376,0
1520, 1,107900,124900,2,54139,0,376,0
1521, 1,107900,124900,2,54139,0,54139,0
1522, 1,107900,124900,2,54139,0,-53761,0
1524, 1,107900,124900,2,54139,0,2,0
1525, 1,107900,124900,2,54139,0,108278,0
1526, 1,107900,124900,2,54139,0,378,0
1528, 1,107900,124900,2,54140,0,378,0
1529, 1,107900,124900,2,54140,0,54140,0
1530, 1,107900,124900,2,54140,0,-53760,0
1532, 1,107900,124900,2,54140,0,2,0
1533, 1,107900,124900,2,54140,0,108280,0
1534, 1,107900,124900,2,54140,0,380,0
1536, 1,107900,124900,2,54141,0,380,0
1537, 1,107900,124900,2,54141,0,54141,0
1538, 1,107900,124900,2,54141,0,-53759,0
1540, 1,107900,124900,2,54141,0,2,0
1541, 1,107900,124900,2,54141,0,108282,0
1542, 1,107900,124900,2,54141,0,382,0
1544, 1,107900,124900,2,54142,0,382,0
1545, 1,107900,124900,2,54142,0,54142,0
1546, 1,107900,124900,2,54142,0,-53758,0
1548, 1,107900,124900,2,54142,0,2,0
1549, 1,107900,124900,2,54142,0,108284,0
1550, 1,107900,124900,2,54142,0,384,0
1552, 1,107900,124900,2,54143,0,384,0
1553, 1,107900,124900,2,54143,0,54143,0
1554, 1,107900,124900,2,54143,0,-53757,0
1556, 1,107900,124900,2,54143,0,2,0
1557, 1,107900,124900,2,54143,0,108286,0
1558, 1,107900,124900,2,54143,0,386,0
1560, 1,107900,124900,2,54144,0,386,0
1561, 1,107900,124900,2,54144,0,54144,0
1562, 1,107900,124900,2,54144,0,-53756,0
1564, 1,107900,124900,2,54144,0,2,0
1565, 1,107900,124900,2,54144,0,108288,0
1566, 1,107900,124900,2,54144,0,388,0
1568, 1,107900,124900,2,54145,0,388,0
1569, 1,107900,124900,2,54145,0,54145,0
1570, 1,107900,124900,2,54145,0,-53755,0
1572, 1,107900,124900,2,54145,0,2,0
1573, 1,107900,124900,2,54145,0,108290,0
1574, 1,107900,124900,2,54145,0,390,0
1576, 1,107900,124900,2,54146,0,390,0
1577, 1,107900,124900,2,54146,0,54146,0
1578, 1,107900,124900,2,54146,0,-53754,0
1580, 1,107900,124900,2,54146,0,2,0
1581, 1,107900,124900,2,54146,0,108292,0
1582, 1,107900,124900,2,54146,0,392,0
1584, 1,107900,124900,2,54147,0,392,0
1585, 1,107900,124900,2,54147,0,54147,0
1586, 1,107900,124900,2,54147,0,-53753,0
1588, 1,107900,124900,2,54147,0,2,0
1589, 1,107900,124900,2,54147,0,108294,0
1590, 1,107900,124900,2,54147,0,394,0
1592, 1,107900,124900,2,54148,0,394,0
1593, 1,107900,124900,2,54148,0,54148,0
1594, 1,107900,124900,2,54148,0,-53752,0
1596, 1,107900,124900,2,54148,0,2,0
1597, 1,107900,124900,2,54148,0,108296,0
1598, 1,107900,124900,2,54148,0,396,0
1600, 1,107900,124900,2,54149,0,396,0
1601, 1,107900,124900,2,54149,0,54149,0
1602, 1,107900,124900,2,54149,0,-53751,0
1604, 1,107900,124900,2,54149,0,2,0
1605, 1,107900,124900,2,54149,0,108298,0
1606, 1,107900,124900,2,54149,0,398,0
1608, 1,107900,124900,2,54150,0,398,0
1609, 1,107900,124900,2,54150,0,54150,0
1610, 1,107900,124900,2,54150,0,-53750,0
1612, 1,107900,124900,2,54150,0,2,0
